Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,-0.787,-1.653,-2.236,2.194,3.954,4.614,8.043,13.6,14.358,26.178,29.378,29.3,26.925,24.818,NaN,32.131,29.809,32.663,35.473,35.902,40.815,48.116,47.708,49.72,49.668,46.246,43.407,43.024,42.548,44.666,49.459,49.355,52.926,54.526,53.86,53.694,57.479,57.19,58.469,67.973,66.279,69.837,66.732,62.004,66.343,69.234,69.972
MMH,AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),4.395,8.177,15.078,17.848,21.9,30.027,33.253,36.178,33.056,47.722,64.729,67.489,54.708,70.788,NaN,52.414,51.516,58.072,61.876,56.049,54.243,46.848,52.608,56.832,55.476,75.622,58.454,52.835,45.247,60.111,51.229,47.934,49.346,57.037,63.568,64.842,66.443,78.852,81.88,91.46,107.108,102.79,120.024,122.198,149.549,143.306,137.133
MJB,AKTİF PORTFÖY BİRİNCİ FON SEPETİ FONU,0.036,-1.057,0.071,3.085,6.852,7.219,11.433,16.376,19.193,32.97,41.553,43.581,45.44,46.886,NaN,43.875,42.632,46.427,49.547,53.137,53.64,45.591,43.361,48.049,48.049,48.912,46.503,41.411,40.07,39.93,43.507,46.198,46.733,47.659,46.886,43.507,44.765,47.117,46.886,54.485,52.471,58.677,64.152,57.343,64.344,63.293,55.254
ONE,AKTİF PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ESG,AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,1.172,2.02,4.018,5.02,6.863,8.033,9.519,10.986,11.584,15.569,18.886,18.75,17.072,19.435,NaN,18.886,19.091,20.128,20.688,20.97,21.182,20.758,21.895,22.762,23.054,24.31,23.494,23.274,23.054,24.086,24.161,24.31,24.91,25.363,25.667,26.28,27.133,27.761,27.918,28.156,29.195,29.195,30.662,31.409,33.441,33.613,33.355
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,-2.952,-5.32,-6.257,-4.015,3.227,5.34,9.078,8.878,8.33,22.706,29.344,28.502,26.985,22.452,NaN,24.645,23.927,28.015,32.754,37.456,43.455,54.807,52.219,53.303,48.962,46.111,42.505,37.456,35.412,34.489,36.742,35.722,36.9,40.225,38.908,41.906,51.053,53.303,51.634,57.171,65.989,70.165,72.396,59.18,67.516,70.903,68.47
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.299,10.87,17.421,21.718,28.248,36.364,40.367,43.124,42.326,55.488,74.26,74.857,57.246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MPN,AKTİF PORTFÖY İKİNCİ AKTİF SERBEST (DÖVİZ) FON,0.545,0.339,1.24,4.973,8.732,8.291,10.753,17.555,19.793,35.806,46.423,48.735,40.694,44.181,NaN,44.243,43.131,44.692,44.91,45.223,46.87,49.098,51.088,52.104,52.543,51.428,49.744,50.851,51.334,51.224,50.826,50.767,51.462,51.08,50.716,51.352,52.586,54.672,54.176,55.907,57.448,61.092,62.12,62.276,62.374,64.728,65.142
EYT,AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BUL,AKTİF PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
