Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks
GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,4.378,5.292,1.943,2.196,1.8,3.665,3.183,0.593,1.871,6.733,7.77,2.742,1.871,0.839,4.871,5.523,12.651,16.05,19.363,24.353,28.222,42.188,52.404,56.369,55.946,58.953,NaN,55.946,53.785,55.191,53.949,58.342,59.657,64.951,61.806,66.57,62.352,65.14,57.996,58.953,59.392,62.902,65.9,68.812,69.506,70.006,68.713,65.995,69.606,73.795,77.211,83.291,81.904,85.411,93.884,90.555,97.063,95.726,85.531
GA1,GARANTİ PORTFÖY BORÇLANMA ARAÇLARI FONU,0.746,1.576,2.479,3.25,4.034,4.169,5.015,5.875,6.637,7.244,7.725,9.987,10.469,12.854,13.225,13.497,16.125,16.462,17.031,17.884,17.63,18.128,18.497,18.984,21.12,21.13,NaN,21.757,21.989,22.117,22.567,23.073,23.838,24.064,24.634,25.239,26.194,26.624,27.152,27.602,28.094,28.575,29.066,29.536,30.055,30.503,30.862,31.487,32.074,32.869,33.103,33.63,34.26,35.021,35.566,36.036,36.745,37.482,37.972
GVA,GARANTİ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇLAR DEĞİŞKEN FON,3.331,1.181,-3.745,-2.175,-3.487,-1.855,-4.41,-3.071,-4.461,-0.388,-0.663,-4.915,-7.791,-8.957,-6.351,-5.066,-1.425,1.926,5.761,7.66,11.878,26.512,35.263,38.172,41.542,44.035,NaN,39.566,36.806,40.437,36.806,41.765,44.498,42.101,37.538,43.232,39.674,43.119,38.066,40.328,46.618,49.917,52.976,57.255,57.946,54.953,52.329,47.823,51.943,55.354,53.498,64.895,66.574,70.683,78.295,74.491,79.541,76.546,68.762
GZE,GARANTİ PORTFÖY EMTİA SERBEST FON,0.622,0.248,2.929,6.384,2.602,3.093,2.995,4.696,4.223,6.911,6.035,4.56,4.358,3.423,4.391,8.745,12.805,14.2,17.138,21.086,25.019,42.486,48.644,49.261,48.371,46.955,NaN,43.753,41.923,44.395,46.888,51.358,53.15,51.571,47.424,49.954,48.986,46.29,47.088,41.488,40.871,42.298,46.754,41.117,42.11,42.737,43.753,39.534,39.414,40.81,37.985,37.985,43.945,45.5,41.798,37.516,44.009,44.783,40.565
GZV,GARANTİ PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,4.814,3.627,0.876,2.97,1.362,1.68,-0.612,0.677,-0.529,3.657,1.941,-0.806,-1.244,-2.565,-2.111,0.847,4.537,6.47,9.473,13.944,17.428,32.702,41.875,43.818,44.4,46.352,NaN,45.696,45.34,48.051,47.44,52.672,54.522,53.724,50.866,53.065,50.548,50.358,46.713,48.916,52.477,52.346,57.521,58.782,58.641,58.009,54.723,52.542,54.924,58.289,59.491,68.842,66.636,74.195,76.87,74.28,74.792,74.45,68.762
GPA,GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,3.127,4.387,4.284,5.986,5.332,5.986,7.068,7.133,7.46,8.84,7.079,6.444,6.777,6.669,7.449,11.289,14.046,14.403,17.397,24.448,26.575,44.192,55.981,58.053,47.815,51.712,NaN,51.93,50.891,52.521,52.675,52.829,54.682,56.79,58.171,58.788,59.314,58.693,56.72,58.101,58.503,58.313,58.29,58.313,58.479,58.574,58.527,58.669,59.988,61.797,61.674,63.648,64.742,67.824,68.224,68.411,68.706,70.692,71.299
GZZ,GARANTİ PORTFÖY FİNANS SEKTÖRÜ DEĞİŞKEN FON,3.181,2.435,-0.407,0.598,-0.737,0.9,0.862,0.523,1.089,4.22,3.538,0.186,1.7,2.241,4.544,7.594,13.109,14.895,18.278,22.754,25.209,39.699,50.307,49.639,45.278,50.897,NaN,45.987,46.066,50.644,51.066,56.148,57.427,50.897,49.141,52.435,50.391,52.868,49.639,50.475,50.559,53.917,54.181,55.968,56.512,58.633,59.008,55.787,56.239,59.763,61.005,70.164,67.101,72.233,80.187,80.792,85.912,83.129,73.119
GIE,GARANTİ PORTFÖY GARANTİ BBVA İKLİM ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.898,4.449,-2.419,-7.198,-6.09,-2.177,-1.441,-6.647,-2.901,0.769,1.944,-2.237,1.681,5.641,11.56,14.234,21.093,27.99,31.963,35.254,32.185,45.918,61.499,64.025,51.541,67.519,NaN,50.239,49.383,55.128,59.695,54.519,52.275,46.19,54.519,61.333,59.695,75.167,58.569,54.065,45.111,61.168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,1.904,0.11,4.398,10.976,3.331,1.676,4.318,5.202,-0.183,2.018,5.365,5.081,1.828,-0.727,-2.43,-0.146,8.033,9.113,13.419,12.857,12.717,28.229,36.024,35.35,33.627,26.977,NaN,28.895,28.41,31.63,36.637,42.04,47.887,59.93,56.089,57.803,52.599,49.753,46.932,40.794,39.144,37.809,40.216,39.571,40.36,43.684,42.113,44.292,54.499,57.077,53.63,60.117,70.306,73.114,78.782,62.597,71.698,73.885,70.412
GHS,GARANTİ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.827,3.089,-4.202,-7.958,-6.373,-2.537,-1.608,-6.128,-2.402,0.873,3.704,0.815,6.977,10.228,17.204,23.027,28.015,38.258,42.848,45.85,45.091,60.593,77.944,76.922,62.661,78.632,NaN,63.662,62.601,67.535,71.596,67.968,65.171,60.153,66.597,72.337,73.307,88.187,70.811,65.763,58.162,76.442,63.54,58.705,62.375,69.1,77.908,77.065,83.123,99.682,101.008,109.699,125.337,118.875,140.625,145.059,171.387,161.095,158.481
