Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks
UP1,ÜNLÜ PORTFÖY ALTIN FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SUA,ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON,0.806,2.459,2.459,3.306,4.167,4.167,5.932,5.932,7.759,7.759,7.759
UPD,ÜNLÜ PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,0.539,1.243,1.665,2.09,2.652,3.371,3.628,3.764,4.238,5.291,5.905
UPH,ÜNLÜ PORTFÖY HİSSE SENEDİ (TL) FONU(HİSSE SENEDİ YOĞUN FON),3.279,14.121,14.137,19.466,29.07,25.543,36.328,37.523,52.727,45.997,45.131
SUB,ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON,3.297,11.905,13.253,14.634,17.5,17.5,22.078,23.684,28.767,27.027,27.027
UJA,ÜNLÜ PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,0.715,1.149,1.221,1.88,2.473,3.451,3.527,4.525,5.071,5.701,6.581
USY,ÜNLÜ PORTFÖY MUTLAK GETİRİ HEDEFLİ SERBEST FON,1.923,1.923,1.923,3.922,3.922,6.0,6.0,6.0,6.0,6.0,6.0
UP2,ÜNLÜ PORTFÖY ONBİRİNCİ SERBEST (TL) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UPP,ÜNLÜ PORTFÖY PARA PİYASASI (TL) FONU,0.362,0.788,1.156,1.465,1.838,2.214,2.593,2.974,3.423,3.745,4.135
SUC,ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON,2.308,7.12,7.841,9.821,11.523,11.223,14.112,14.798,17.57,17.127,17.099
YKT,YAPI KREDİ PORTFÖY ALTIN FONU,2.778,2.778,3.497,9.63,8.824,11.278,8.824,5.714,9.63,11.278,11.278
YPL,YAPI KREDİ PORTFÖY BALAT SERBEST (DÖVİZ) FON,0.642,1.045,1.521,1.724,2.043,2.811,2.928,3.099,3.7,4.624,5.198
YCP,YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),0.371,4.739,11.362,14.0,14.12,7.069,20.736,25.857,37.611,36.656,24.411
YLE,YAPI KREDİ PORTFÖY BIST SÜRDÜRÜLEBİLİRLİK ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),1.948,11.01,11.46,15.623,24.041,20.902,31.146,32.569,47.023,41.715,36.522
YHZ,YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),1.119,13.119,21.369,25.049,34.539,32.657,50.795,58.878,67.432,64.527,59.68
YHB,YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
YEF,YAPI KREDİ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),1.154,7.347,8.23,13.362,22.897,20.642,31.5,32.828,49.432,46.111,41.398
