Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks
UPP,ÜNLÜ PORTFÖY PARA PİYASASI (TL) FONU,0.8051320314726271,1.5830572365418447,2.3804105713347767,3.185922603354663,3.985959942482612,4.771631033779531,5.556375583928531,6.333294783681376,7.096928962764004,7.833606600483738,8.568838033118729,9.288229001382952,10.024844508138576,10.743290909820868,11.46303072170165,12.179422315029504,12.899525746280826,13.603807499090493,14.314111188570026,15.010399035048977,15.675013167518282,16.31820735266137,16.917126486371927,17.544125764007816
SUC,ÜNLÜ ASSET MANAGEMENT THIRD VARIABLE FUND,1.3690869640059935,0.5740626373670616,2.595561466742158,2.454878686622358,4.833574354701381,5.319452326716614,6.203991207305707,6.6321490072669835,7.250330929905463,9.958588159420126,10.328305864151604,12.731350783984515,13.239960618588798,14.033892200317164,13.337302601911578,12.204453513731996,15.484051936953861,18.0318271055441,17.30468903682691,17.048117991642872,19.585303651598668,23.22179842802531,20.87035211875636,23.937567273501603
YKT,YAPI KREDİ ASSET MANAGEMENT GOLD Fund,-1.9148905152054247,-1.0184228238522135,-1.1231579218088215,0.622529976781304,1.4360451091544975,4.65809040848707,4.608866344042116,4.985527147326602,7.524501676062467,9.224693883348948,11.631360414134662,10.313081545486575,10.546443373711723,12.8938481867567,17.307935400911,22.788078986750357,20.363520893059185,18.997338144129312,20.24789326470245,19.93065891852868,19.06630623775034,16.706635385542732,18.656308419456085,18.878017536497545
YPL,YAPI KREDİ PORTFÖY BALAT SERBEST (DÖVİZ) FON,0.5959755973428393,1.0978956117710204,1.9599990872611102,3.071024371670562,4.3025235419708165,4.790063028224602,5.506482790274724,5.887326139067807,6.1545399222163395,6.830078798358397,7.736872347008427,8.484021607506792,9.675129577817424,10.430289406475197,11.449349738336812,12.45647987650341,13.096686752330708,14.698450970529064,15.125918270334187,15.548110766486841,16.091609305934455,14.443733777335055,14.941639226283154,15.18900456390943
YCP,YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),-1.6881022450452334,-3.2951711976511215,8.776868420206556,11.215489187007602,2.8885864721738588,2.8479701958472883,8.891208876926877,14.052898231466163,19.01444061135519,23.521835518135923,23.947804198835758,22.39265136832214,18.737031330502024,16.670286694207597,9.547121311192324,7.388046344682632,12.25230945897809,17.216672785776453,23.439213389087417,13.590497504932902,26.502499687117176,26.083876866588035,28.07082847018495,29.50566099225061
YLE,YAPI KREDİ PORTFÖY BIST SÜRDÜRÜLEBİLİRLİK ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),1.913277968604181,3.557726013760818,9.178098945631197,11.077902107979321,6.437450280315337,7.203828497949671,6.955342138730823,8.440217466979265,9.146599601397241,11.665432664912268,11.336523660635605,13.623926863865371,14.29647197904649,12.603876010154078,6.37388350593736,3.0193652917246347,6.814591724192727,10.119337409331616,9.518120985341676,6.572379936952894,12.166383290551682,17.254120457295283,13.516788707489793,17.6911197736112
YHZ,YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),5.720844335358427,7.396736906539901,10.953502678867022,20.299408308114046,13.278767345387058,11.883580273559028,6.525519941909384,3.8849466776045998,2.5789969143570657,6.321634698420612,10.929517010303627,12.646717399716245,16.595234650391966,20.00800775188289,15.517744664741917,12.901126368159202,18.68607211403607,23.32410147645945,27.902118006245413,29.306671665152056,38.985124307730175,50.62677594305258,47.315169536205374,51.97699043811347
YHB,YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),3.367573570238753,6.187913649059835,11.338333386286802,15.620560355870229,14.509235561356254,14.862492516550372,8.033099336091013,4.982329010821119,2.231237322515225,3.894237602644583,3.1390398495837073,5.950804642266122,5.121544933510272,3.5522830145387054,-1.614928989201588,-5.024519963522965,-0.09818660821866627,10.31070530168293,14.702042859618391,15.469848318477899,None,None,None,None
YEF,YAPI KREDİ ASSET MANAGEMENT BIST 30 INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),1.5487828833048853,2.4899076932461655,7.824113865300657,9.680593117597686,4.914062447731642,5.658894184338557,4.293289822557629,5.900785405725435,7.1358299097260875,9.159887322897864,10.16112905076467,13.442344651637232,13.6209832264609,11.205875608989292,4.897920958981092,2.781224875030591,6.459409184925032,8.659158521036979,6.85840707964603,4.624506280468285,10.096161722064783,14.343700477361775,10.42824682641028,13.436600292246792
YAN,YAPI KREDİ ASSET MANAGEMENT FIRST FUND OF FUNDS,1.6933259226171222,1.7179933224619501,4.455151339222671,4.461605303084534,4.0691786897476305,4.567866328161792,6.368568131807932,7.320886914908911,8.493829819278204,10.11024204869919,11.6150288802741,14.330536410270714,16.123892065892072,14.735759393109063,11.003280428227342,11.581454180947567,13.179637585316886,14.592868810482717,13.250551908233913,12.652257230391173,13.58103737664841,14.98465123487967,14.96078763028324,15.302129583765629
