Fund Code,Fund Name,1 Week Return,2 Week Return,3 Week Return,4 Week Return,5 Week Return,6 Week Return,7 Week Return,8 Week Return,9 Week Return,10 Week Return,11 Week Return,12 Week Return,13 Week Return,14 Week Return,15 Week Return,16 Week Return,17 Week Return,18 Week Return,19 Week Return,20 Week Return,21 Week Return,22 Week Return,23 Week Return,24 Week Return,25 Week Return,26 Week Return
UP1,ÜNLÜ PORTFÖY ALTIN FONU,0.8208,0.1551,1.0179,2.0344,-0.3784,5.2837,7.4679,8.498,7.9242,10.3622,11.9862,14.3833,12.4833,12.6625,12.1726,16.3887,24.5756,23.8465,21.3731,21.7306,21.3925,19.8924,20.0088,20.5574,20.5638,19.9502
SUA,ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON,0.7571,1.9173,2.4368,3.3961,4.1988,5.0276,5.4716,6.5288,7.111,7.6305,8.6134,9.4855,10.3182,10.5582,12.226,12.8561,12.9551,13.9423,15.5657,16.7828,16.3899,17.9157,19.2129,19.0362,19.1956,20.2171
UPD,ÜNLÜ PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,0.3125,0.8861,1.3954,2.4179,3.522,4.6859,5.309,5.958,6.2016,6.5328,7.3526,8.1675,8.843,9.8881,10.5628,11.422,12.2902,13.0366,14.1835,14.8135,15.2533,15.7521,17.4912,14.2848,14.4506,14.726
UPH,ÜNLÜ PORTFÖY HİSSE SENEDİ (TL) FONU(HİSSE SENEDİ YOĞUN FON),3.5206,8.798,9.236,15.0753,17.6134,18.6606,15.3393,16.385,14.503,14.6504,16.2058,15.9192,17.4902,16.7214,19.3327,13.7849,7.8825,12.2062,16.1283,17.9034,13.598,18.3923,22.7769,26.4837,24.5309,31.7833
SUB,ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON,2.8996,7.0642,8.1436,11.5876,14.7011,17.6786,13.7978,12.2593,9.9481,10.1193,11.0844,9.623,11.3555,10.4942,13.1646,9.8208,6.2714,9.0526,12.2115,14.0013,11.853,15.2869,19.7043,23.4898,23.0125,25.7038
UJA,ÜNLÜ PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,0.6137,1.3171,2.0085,2.6563,3.4185,4.1301,4.9766,5.7205,6.3771,7.0557,7.8181,8.52,9.1071,9.4141,10.1967,10.7659,11.4837,12.235,12.9239,13.687,14.3935,14.8071,15.5816,15.5599,16.7009,17.0253
USY,ÜNLÜ PORTFÖY MUTLAK GETİRİ HEDEFLİ SERBEST FON,0.9111,2.4751,1.6348,2.5778,2.0138,3.1626,4.7147,6.8958,8.2654,9.4287,10.42,13.1999,13.9169,17.9847,18.3991,17.0385,19.2792,19.4961,20.6916,18.4719,18.8333,18.1921,22.5296,19.5423,18.0664,16.2485
UP2,ÜNLÜ PORTFÖY ONBİRİNCİ SERBEST (TL) FON,0.4605,1.2572,2.0534,2.8599,3.5679,4.5096,5.3474,6.1801,6.9852,7.7853,8.5853,9.3801,10.1714,10.9556,11.733,12.5257,13.3295,14.1626,14.9882,15.7892,16.5636,17.2727,18.055,18.7758,19.4438,20.1327
UPP,ÜNLÜ PORTFÖY PARA PİYASASI (TL) FONU,0.4628,1.2704,2.0682,2.8614,3.5509,4.4792,5.283,6.0694,6.8548,7.6392,8.3863,9.1311,9.8617,10.5985,11.3316,12.0546,12.7811,13.4979,14.2201,14.9516,15.6391,16.3286,16.9896,17.611,18.2289,18.8625
SUC,ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON,0.6779,2.1028,0.9743,3.1874,3.1831,4.6553,5.9163,6.7652,7.4214,7.5784,9.2212,12.0135,13.1878,14.3016,16.7226,14.8501,13.0231,15.7588,17.8734,19.5016,17.2955,19.6861,22.2186,22.9752,23.2853,24.7954
YKT,YAPI KREDİ PORTFÖY ALTIN FONU,0.6603,0.0415,2.3874,2.5671,2.1925,4.8887,6.9463,7.4407,6.5075,9.5586,11.339,14.1444,13.349,13.7722,14.8115,21.1356,26.5541,24.5814,22.1058,23.1886,22.9638,22.3069,23.3564,22.3188,22.8025,21.65
YPL,YAPI KREDİ PORTFÖY BALAT SERBEST (DÖVİZ) FON,0.3168,0.9094,1.2879,2.3109,3.3734,4.5646,5.2265,5.8807,6.22,6.5358,7.2178,8.197,8.7189,10.0238,10.8489,11.782,12.8132,13.4999,14.7181,15.5612,15.9923,16.4828,17.9338,15.5289,15.6774,16.0847
YCP,YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),1.2338,0.8877,-2.8823,10.3642,11.2932,6.3902,3.7621,12.9422,13.3352,20.5512,25.959,27.6803,24.3732,20.5276,24.3622,15.8239,11.3122,11.6102,18.7936,26.6102,16.2577,27.456,29.5856,36.7955,31.5913,42.8949
YLE,YAPI KREDİ PORTFÖY BIST SÜRDÜRÜLEBİLİRLİK ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),2.973,7.3613,7.4419,13.2426,15.6809,14.189,9.9041,13.1552,12.4207,13.647,16.0254,18.0456,18.3782,19.3567,22.563,13.4679,8.2658,9.9748,15.0876,17.5058,11.5917,15.4791,20.0291,23.2203,19.5776,27.3659
YHZ,YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),7.1517,14.032,17.1797,18.2766,27.6677,27.2858,18.052,17.0054,12.6695,11.077,13.2926,19.246,22.1716,25.313,34.3493,28.0136,23.032,27.6491,29.6562,39.7981,39.2821,50.1565,61.7125,62.661,58.6557,64.3219
YHB,YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),2.644,7.9859,9.8526,13.424,16.2855,22.4369,17.415,13.2459,9.6824,5.421,7.2487,7.2101,10.3697,8.6275,13.5858,5.199,-1.4537,3.8877,11.952,19.6231,18.5659,nan,nan,nan,nan,
YEF,YAPI KREDİ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),2.64,6.4956,6.1961,11.6073,14.7018,12.6413,8.2259,10.2248,10.2935,11.1838,13.1585,16.4565,18.0065,18.4375,20.0654,11.1951,7.1692,9.4534,13.6117,14.4969,9.3756,13.1346,16.8144,19.3306,15.1621,20.3155
YAN,YAPI KREDİ PORTFÖY BİRİNCİ FON SEPETİ FONU,1.2119,2.959,2.7347,5.4839,5.5122,6.4268,4.9881,8.1999,8.1997,9.8407,11.0256,13.6068,14.8636,17.5045,18.4856,13.2134,13.4882,12.8396,15.6765,15.2435,13.6191,14.7064,17.9654,18.135,16.3153,16.6918
YHS,YAPI KREDİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),2.9579,8.8982,9.1242,17.002,21.4078,20.2878,15.1615,16.2583,16.5359,16.8825,18.4418,20.8899,23.4828,24.9607,27.9711,17.6939,11.2509,13.6348,19.4409,21.5437,15.6266,19.3272,24.0443,25.99,21.9793,31.4181
YOT,YAPI KREDİ PORTFÖY BORÇLANMA ARAÇLARI FONU,0.5122,1.4855,1.8685,2.637,2.8179,4.4506,5.5295,6.5579,7.5524,9.1512,10.0084,11.4485,11.522,12.2499,12.757,13.1812,13.587,13.9525,16.4793,17.5371,15.3847,16.7487,16.8223,15.7877,16.1386,17.4234
YJK,YAPI KREDİ PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU,1.1384,1.8083,2.6843,4.6921,3.7935,7.8598,8.5286,12.5036,13.5521,15.2335,16.6266,19.8231,22.2683,29.5203,28.0963,23.7969,24.9676,25.2422,25.7944,24.4114,24.0682,23.7718,26.7969,24.8893,23.0099,21.7568
YLO,YAPI KREDİ PORTFÖY ELEKTRİKLİ ARAÇLAR DEĞİŞKEN FON,0.2328,1.189,-0.3738,1.9303,-0.8342,0.533,0.4556,5.1288,5.7148,5.9138,6.4837,11.3115,10.5577,13.7571,12.4066,7.0021,9.0645,7.3335,9.6541,6.4306,7.367,6.0312,11.1665,10.9791,6.9801,3.4402
YGM,YAPI KREDİ PORTFÖY EMTİA SERBEST FON,0.2686,1.3671,0.638,1.7765,2.024,3.0383,4.3837,5.3613,2.8095,2.9568,3.862,4.8557,2.2992,3.0062,3.1971,6.114,10.012,6.4801,6.8572,6.854,8.4116,7.7309,9.6817,9.4163,7.9623,7.9913
YBE,YAPI KREDİ PORTFÖY EUROBOND (DOLAR) BORÇLANMA ARAÇLARI FONU,0.1926,0.8587,0.6045,1.8938,1.5713,2.7875,3.5114,6.4296,7.3803,8.0714,8.8828,11.2624,11.0022,14.302,15.7318,15.5611,17.4464,16.597,17.1977,18.4429,18.2462,18.5778,20.0385,18.3804,17.4174,17.7128
