Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks
MPN,AKTİF PORTFÖY İKİNCİ AKTİF SERBEST (DÖVİZ) FON,0.380,0.836,1.084,1.886,2.352,3.717,4.770,7.294,8.223,9.020,10.386,11.790,12.760,15.580,16.740,16.366,17.894,18.238,18.893,19.716,20.040,20.004,18.911,18.769,18.760,19.577
EYT,AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU,1.209,2.988,3.625,5.967,6.837,7.523,8.118,9.023,9.738,10.880,11.832,12.692,17.083,None,None,None,None,None,None,None,None,None,None,None,None,None
BUL,AKTİF PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),4.694,10.995,11.772,14.988,13.895,5.501,8.239,0.314,-2.043,-2.541,-3.521,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
MPS,AKTİF ASSET MANAGEMENT PARTICIPATION EQUITY (TL) FUND (EQUITY-INTENSIVE FUND),6.301,10.173,12.565,16.218,18.578,13.718,13.344,9.741,8.763,8.966,10.291,9.214,12.726,16.835,15.707,8.202,4.376,6.961,12.170,11.741,9.455,14.719,20.678,18.130,23.033,26.319
MPF,AKTİF ASSET MANAGEMENT SHORT-TERM LEASE CERTIFICATE PARTICIPATION (TL) FUND,0.700,1.410,2.096,2.791,3.496,4.318,5.043,5.742,6.450,7.130,7.819,8.477,9.104,9.778,10.380,10.989,11.604,12.226,12.855,13.406,13.962,14.568,15.135,15.664,16.154,16.692
MPK,AKTİF ASSET MANAGEMENT LEASE CERTIFICATE PARTICIPATION (TL) FUND,0.726,1.435,2.211,2.706,4.159,5.346,8.549,9.140,9.439,10.141,10.613,11.159,11.814,12.547,13.254,14.078,14.914,15.651,16.323,16.964,17.689,18.579,18.892,19.562,20.240,20.845
IDL,AKTİF PORTFÖY PARA PİYASASI (TL) FONU,0.802,1.617,2.393,3.234,4.035,5.013,5.842,6.628,7.425,8.176,8.938,9.711,10.434,11.536,12.221,12.914,13.616,14.326,15.046,15.774,16.445,17.123,17.809,18.433,19.065,19.702
GPT,AKTİF PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,1.399,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
MTS,AKTİF PORTFÖY TARIM VE SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,0.709,2.158,-0.281,-1.389,-2.338,0.424,1.429,4.489,8.480,5.263,5.030,8.812,9.907,11.723,8.979,7.821,9.653,8.314,7.985,6.049,6.847,5.030,6.527,5.341,3.048,3.877
CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,0.943,5.845,8.180,13.500,12.739,13.830,14.829,18.054,16.998,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,2.386,0.542,1.388,1.223,3.124,6.996,8.449,8.672,10.313,13.279,13.805,16.390,15.276,14.507,13.317,20.813,26.185,25.654,23.864,24.855,24.222,22.691,20.305,23.087,22.998,22.757
RBK,ALBARAKA ASSET MANAGEMENT PARTICIPATION FUND,0.508,1.069,1.564,2.280,2.666,3.571,4.291,6.538,7.538,8.126,8.721,9.625,10.292,11.650,12.429,13.219,14.170,14.080,15.472,15.534,15.903,16.430,15.472,16.275,16.151,17.088
RBH,ALBARAKA ASSET MANAGEMENT PARTICIPATION EQUITY FUND (EQUITY-INTENSIVE FUND),6.090,8.958,11.200,13.844,18.231,14.707,14.986,10.405,9.725,7.866,10.276,8.995,12.597,14.567,12.314,4.794,2.432,6.238,11.247,11.239,8.026,14.022,21.481,18.677,29.168,32.529
PVK,ALBARAKA PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,0.739,1.539,2.301,3.023,3.807,4.497,5.358,6.068,6.789,7.518,8.258,8.950,9.651,10.362,11.081,11.871,12.672,13.485,14.182,14.952,15.602,16.259,16.857,17.529,18.140,18.757
RBV,ALBARAKA ASSET MANAGEMENT SHORT-TERM LEASE CERTIFICATES PARTICIPATION FUND,0.753,1.476,2.211,2.955,3.627,4.392,4.307,5.826,6.535,7.254,7.983,8.675,9.329,9.991,10.661,11.291,11.928,12.622,13.173,13.730,14.344,14.912,15.433,16.013,16.651,17.243
RBT,ALBARAKA ASSET MANAGEMENT LEASE CERTIFICATES PARTICIPATION FUND,0.806,1.494,2.237,2.900,3.618,4.254,5.038,5.785,6.496,7.217,7.752,8.390,8.937,9.539,10.097,10.713,11.335,11.596,12.176,12.814,13.352,13.950,14.499,15.053,15.613,16.178
